team,off_sos,def_sos
CAR,-0.028256943,-0.01403597
CHI,-0.02012872,0.004948396
PIT,-0.01891739,-0.022499919
LV,-0.012623902,-0.001113704
LAC,-0.007851796,0.0074583627
GB,-0.0061182207,0.008241065
CIN,-0.0050417148,-0.02615628
SF,-0.004828336,0.009421512
TB,-0.002692895,-0.012987433
BUF,-0.0024687524,-0.0012684079
NYJ,-0.0002940569,0.001560879
ARI,0.0005513101,0.021904854
TEN,0.00088515965,-0.0029202942
IND,0.0013375843,-0.017961971
DEN,0.0014521265,-0.0008526129
BAL,0.0018336659,-0.02091432
KC,0.0033460285,0.00075143925
NYG,0.0061721336,0.015121728
NE,0.0065529686,0.0011962734
ATL,0.0070788395,-0.012581166
DAL,0.007737627,0.032011457
JAX,0.008545237,0.006068129
WAS,0.009054379,0.021474702
MIA,0.011789531,0.019676942
NO,0.012624695,-0.02289395
LA,0.015676543,0.027181242
DET,0.019264419,-0.00770138
CLE,0.02128696,-0.020623216
SEA,0.02201388,0.030155469
HOU,0.024599416,0.014584046
MIN,0.02863183,0.032871902
PHI,0.04260412,0.0327245
